NAME,pop_total,households_total,zcta
ZCTA5 96055,3404,1447,96055
ZCTA5 96056,1535,627,96056
ZCTA5 96057,1076,528,96057
ZCTA5 96058,706,202,96058
ZCTA5 96059,731,239,96059
ZCTA5 96061,38,38,96061
ZCTA5 96062,1074,393,96062
ZCTA5 96063,107,60,96063
ZCTA5 96064,4696,1819,96064
ZCTA5 96065,346,148,96065
ZCTA5 96067,7800,3715,96067
ZCTA5 96068,152,12,96068
ZCTA5 96069,1371,551,96069
ZCTA5 96071,17,17,96071
ZCTA5 96073,5633,1929,96073
ZCTA5 96074,225,46,96074
ZCTA5 96075,330,144,96075
ZCTA5 96076,140,63,96076
ZCTA5 96078,95,24,96078
ZCTA5 96080,31149,12047,96080
ZCTA5 96084,760,297,96084
ZCTA5 96085,65,32,96085
ZCTA5 96086,307,139,96086
ZCTA5 96087,819,298,96087
ZCTA5 96088,4552,2199,96088
ZCTA5 96090,395,181,96090
ZCTA5 96091,761,329,96091
ZCTA5 96092,511,160,96092
ZCTA5 96093,3626,1555,96093
ZCTA5 96094,6674,2760,96094
ZCTA5 96096,717,323,96096
ZCTA5 96097,10220,4378,96097
ZCTA5 96101,4868,1870,96101
ZCTA5 96103,1301,631,96103
ZCTA5 96104,883,364,96104
ZCTA5 96105,493,207,96105
ZCTA5 96106,359,134,96106
ZCTA5 96107,668,293,96107
ZCTA5 96108,103,39,96108
ZCTA5 96109,1182,414,96109
ZCTA5 96110,82,63,96110
ZCTA5 96111,22,13,96111
ZCTA5 96112,172,59,96112
ZCTA5 96113,2310,350,96113
ZCTA5 96114,2797,1182,96114
ZCTA5 96115,109,65,96115
ZCTA5 96116,0,0,96116
ZCTA5 96117,249,81,96117
ZCTA5 96118,1492,645,96118
ZCTA5 96119,28,16,96119
ZCTA5 96120,1273,358,96120
ZCTA5 96121,169,58,96121
ZCTA5 96122,4492,1913,96122
ZCTA5 96123,77,26,96123
ZCTA5 96124,253,39,96124
ZCTA5 96125,226,146,96125
ZCTA5 96126,233,102,96126
ZCTA5 96128,642,259,96128
ZCTA5 96129,411,146,96129
ZCTA5 96130,20892,5658,96130
ZCTA5 96132,17,8,96132
ZCTA5 96133,242,56,96133
ZCTA5 96134,2347,780,96134
ZCTA5 96135,114,59,96135
ZCTA5 96136,74,16,96136
ZCTA5 96137,2717,1268,96137
ZCTA5 96140,1099,467,96140
ZCTA5 96141,621,260,96141
ZCTA5 96142,821,392,96142
ZCTA5 96143,2852,1297,96143
ZCTA5 96145,3291,1372,96145
ZCTA5 96146,1120,517,96146
ZCTA5 96148,462,222,96148
ZCTA5 96150,29527,12678,96150
ZCTA5 96155,0,0,96155
ZCTA5 96161,19231,7655,96161
